Region,Population,school_age_pop,adm2_name,school_count,area_sqkm,schools_per_1000_children,schools_per_km2,child_pop_density,density_gap,year,density_norm,school_fragility_score
Tuy,364599.0,162246.555,Tuy,27,5548.35488254,0.16641236904925935,0.004866307323809752,29.2422814392371,0.16641236904925935,2019,0.02017715542403329,0.9798228445759667
Kadiogo,3959466.0,1761962.37,Kadiogo,2495,2987.73226943,1.4160339780502929,0.8350815183570637,589.7323491894231,1.4160339780502929,2019,0.18385936020855628,0.8161406397914437
Bam,386191.0,171854.995,Bam,123,3994.79393708,0.7157155035528437,0.030790073765333444,43.01973961781309,0.7157155035528437,2019,0.09212785434198208,0.9078721456580179
Namentenga,467387.0,207987.215,Namentenga,166,6386.31237127,0.7981221436031845,0.025993091215954535,32.56765452558643,0.7981221436031845,2019,0.10292192227035861,0.8970780777296414
Sandbondtenga,842495.0,374910.275,Sandbondtenga,398,9359.34872214,1.0615845042270333,0.042524326405160164,40.057303785799895,1.0615845042270333,2019,0.13743164885801,0.8625683511419899
Oudalan,304364.0,135441.98,Oudalan,113,9710.95520399,0.8342994225319023,0.011636342422171918,13.947338562981953,0.8342994225319023,2019,0.10766061815678057,0.8923393818432195
Seno,376745.0,167651.525,Seno,13,6873.94377353,0.07754133139360711,0.0018911996414722003,24.389423382482125,0.07754133139360711,2019,0.008536345693962836,0.9914636543060371
Yagha,236691.0,105327.495,Yagha,6,6307.09673676,0.05696464190435836,0.0009513093346150645,16.699838197520254,0.05696464190435836,2019,0.005841099486225426,0.9941589005137745
Boulgou,780847.0,347476.915,Boulgou,331,6353.42767782,0.9525785257460176,0.05209786225402873,54.69125212726541,0.9525785257460176,2019,0.12315345555217372,0.8768465444478263
Koulpelogo,389026.0,173116.57,Koulpelogo,40,5304.53927328,0.2310568476671663,0.00754071144340241,32.63555251103936,0.2310568476671663,2019,0.028644639269630113,0.9713553607303699
Kourittenga,473389.0,210658.105,Kourittenga,215,2834.3515859,1.0206062538811222,0.07585509189105431,74.32320889474589,1.0206062538811222,2019,0.13206409573911598,0.8679359042608841
Boulkiemde,666624.0,296647.68,Boulkiemde,1304,4268.39738726,4.395772130184433,0.3055010772642875,69.49860874842916,4.395772130184433,2019,0.5741615980289916,0.4258384019710084
Sanguie,373602.0,166252.89,Sanguie,304,5110.52883833,1.8285286437508317,0.059485037579660734,32.53144542558291,1.8285286437508317,2019,0.23789014509366554,0.7621098549063344
Sissili,321565.0,143096.425,Sissili,91,7104.63506033,0.6359303809974219,0.012808539668436283,20.141277318944145,0.6359303809974219,2019,0.08167716697005457,0.9183228330299454
Ziro,302516.0,134619.62,Ziro,202,5223.09973737,1.5005130714744888,0.03867435242615404,25.77389419482641,1.5005130714744888,2019,0.19492488930173849,0.8050751106982615
Bazega,263308.0,117172.06,Bazega,896,3718.68967279,7.646808916657123,0.2409450851885049,31.508964261621216,7.646808916657123,2019,1.0,0.0
Nahouri,242569.0,107943.205,Nahouri,159,3885.04321715,1.4729831953461514,0.04092618565943254,27.784299676126963,1.4729831953461514,2019,0.19131887705797346,0.8086811229420265
Zoundweogo,352296.0,156771.72,Zoundweogo,26,3982.60777076,0.16584518020737282,0.0065283857955809755,39.36408730756915,0.16584518020737282,2019,0.020102861958314986,0.979897138041685
Bassitenga,298458.0,132813.81,Bassitenga,156,2682.08862335,1.1745678061053584,0.0581636261538412,49.51879995453395,1.1745678061053584,2019,0.15223081351879356,0.8477691864812065
Ganzourgou,446026.0,198481.57,Ganzourgou,210,4301.71491885,1.0580274126841465,0.04881773989247535,46.14010313195304,1.0580274126841465,2019,0.1369657217468219,0.8630342782531781
Kourweogo,170917.0,76058.065,Kourweogo,417,1609.15201597,5.482581201859371,0.2591427011627808,47.26592903912316,5.482581201859371,2019,0.7165177350789771,0.2834822649210229
Gnagna,608118.0,270612.51,Gnagna,63,9248.83679041,0.23280434151273524,0.006811667394252636,29.259085886410563,0.23280434151273524,2019,0.0288735354758335,0.9711264645241665
Komandjari,134528.0,59864.96,Komandjari,19,5093.32900448,0.3173756839445989,0.0037303696626092573,11.753601612490352,0.3173756839445989,2019,0.039951147843548945,0.9600488521564511
Djelgodji,326719.0,145389.95500000002,Djelgodji,81,7758.73839695,0.5571185635309981,0.010439841615466959,18.73886546518356,0.5571185635309981,2019,0.0713539683689259,0.9286460316310741
Karo-Peli,175725.0,78197.625,Karo-Peli,55,4714.86536522,0.7033371750462365,0.01166523235333861,16.585335729168,0.7033371750462365,2019,0.09050647384814739,0.9094935261518526
